number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bottleneck_channels,params_kernel_size,params_label_smoothing,params_lr,params_num_blocks,params_num_branches,params_num_modules,params_out_channels,params_weight_decay,user_attrs_best_loss,user_attrs_best_test_acc,user_attrs_best_train_acc,user_attrs_best_val_acc,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0.5284596789777799,2026-03-10 10:20:10.379354,2026-03-10 10:23:53.533701,0 days 00:03:43.154347,16,32,33,0.146398788362281,0.0005611516415334506,4,3,3,16,0.0007114476009343421,0.5284596789777799,0.0,77.18150087260035,73.1239092495637,0.5873123624770012,0.5766980637638565,0.6395341012282313,COMPLETE
1,,2026-03-10 10:23:53.534246,2026-03-10 10:24:19.990313,0 days 00:00:26.456067,128,4,5,0.12150897038028768,0.0015304852121831463,4,1,2,256,1.3783237455007196e-06,,,,,,,,PRUNED
2,0.6321473947578283,2026-03-10 10:24:19.990886,2026-03-10 10:24:33.999606,0 days 00:00:14.008720,128,4,17,0.009045457782107613,0.00015030900645056822,2,3,2,64,3.87211803217458e-06,,,,,0.6321473947578283,,,PRUNED
3,0.47952329769184454,2026-03-10 10:24:34.000070,2026-03-10 10:28:23.147983,0 days 00:03:49.147913,32,32,9,0.1459212356676128,0.0004187594718900631,3,3,4,8,9.4525713910723e-06,0.47952329769184454,0.0,86.91099476439791,78.18499127399652,0.5835928657916204,0.5334222877420888,0.5080912269222799,COMPLETE
4,,2026-03-10 10:28:23.148666,2026-03-10 10:28:27.496381,0 days 00:00:04.347715,128,4,129,0.1266807513020847,0.007234279845665418,3,4,4,256,0.00026568139241144923,,,,,,,,PRUNED
5,,2026-03-10 10:28:27.496897,2026-03-10 10:29:27.982158,0 days 00:01:00.485261,128,4,33,0.0994497011784771,0.008411909465645722,3,2,1,128,5.6930747676446135e-06,,,,,,,,PRUNED
6,0.6896188677293468,2026-03-10 10:29:27.982717,2026-03-10 10:29:30.727652,0 days 00:00:02.744935,128,8,17,0.1355128723684565,0.00012065637774378946,1,2,3,8,5.924870051994317e-05,,,,,0.6896188677293468,,,PRUNED
7,inf,2026-03-10 10:29:30.728549,2026-03-10 10:54:25.661908,0 days 00:24:54.933359,16,64,9,0.17741728485302347,0.0028308141496998056,4,1,3,256,0.0004912819179585587,inf,0.0,0.0,0.0,,,,COMPLETE
8,0.5874433792074313,2026-03-10 10:54:25.662485,2026-03-10 10:54:34.984640,0 days 00:00:09.322155,32,4,9,0.19460211095048913,0.0003391600849438615,3,2,3,16,5.394720267647737e-06,,,,,0.5874433792074313,,,PRUNED
9,0.4387218640112752,2026-03-10 10:54:34.985141,2026-03-10 10:57:34.393394,0 days 00:02:59.408253,32,64,17,0.033898549337218496,0.005038176096019999,1,4,3,32,8.928243277966438e-06,0.4387218640112752,0.0,86.78010471204189,80.27923211169285,0.4962065683817572,,,COMPLETE
10,0.4866125865548485,2026-03-10 10:57:34.394091,2026-03-10 10:58:38.157859,0 days 00:01:03.763768,64,64,65,0.02760541358996251,0.003297493221051243,1,4,1,32,4.748459024928747e-05,0.4866125865548485,0.0,80.71553228621292,74.3455497382199,0.5286017462845248,0.5283953678545528,,COMPLETE
11,0.5590597691752316,2026-03-10 10:58:38.158689,2026-03-10 10:58:59.660950,0 days 00:00:21.502261,32,2,9,0.06564795816278697,0.0006720741475499479,2,4,4,8,1.666000816595016e-05,,,,,0.5842575418387408,0.5590597691752316,,PRUNED
12,0.6596339020429481,2026-03-10 10:58:59.661378,2026-03-10 10:59:08.664986,0 days 00:00:09.003608,32,32,17,0.07308689511741942,0.0014739575964816734,2,3,4,32,1.8462130103660786e-05,,,,,0.6596339020429481,,,PRUNED
13,0.6082530400307807,2026-03-10 10:59:08.665432,2026-03-10 11:00:33.818304,0 days 00:01:25.152872,32,32,65,0.0489376585289884,0.0003724714041665594,1,4,4,8,1.065973932224179e-06,,,,,0.6082530400307807,,,PRUNED
14,0.6316980856875475,2026-03-10 11:00:33.818760,2026-03-10 11:00:43.469694,0 days 00:00:09.650934,32,16,129,0.1598155071846452,0.0037807462963787867,2,3,2,32,9.358002965531299e-05,,,,,0.6316980856875475,,,PRUNED
15,,2026-03-10 11:00:43.470131,2026-03-10 11:01:20.798455,0 days 00:00:37.328324,64,64,5,0.0976626470722915,0.00021055871507446222,3,4,4,64,1.2094663857490865e-05,,,,,,,,PRUNED
16,0.5480934286824903,2026-03-10 11:01:20.798903,2026-03-10 11:01:44.902914,0 days 00:00:24.104011,32,2,17,0.0026358428761846936,0.0010019696544363334,1,3,3,128,2.759412818809506e-06,,,,,0.5480934286824903,,,PRUNED
17,0.708836527707065,2026-03-10 11:01:44.903344,2026-03-10 11:01:53.985512,0 days 00:00:09.082168,32,16,9,0.04091839274293927,0.0019089495537169395,2,4,4,32,9.290866850385695e-06,,,,,0.708836527707065,,,PRUNED
18,0.5497329780152539,2026-03-10 11:01:53.985971,2026-03-10 11:02:21.329634,0 days 00:00:27.343663,32,8,9,0.07589211243627074,0.005560094986576652,3,3,3,8,0.00013452646645536372,,,,,0.5497329780152539,,,PRUNED
19,inf,2026-03-10 11:02:21.330072,2026-03-10 11:04:36.848261,0 days 00:02:15.518189,64,64,17,0.1592458927655023,0.0007731789801741335,4,2,2,32,2.4887376569110307e-05,inf,0.0,0.0,0.0,,,,COMPLETE
20,0.552499262346231,2026-03-10 11:04:36.848794,2026-03-10 11:05:45.031160,0 days 00:01:08.182366,16,32,5,0.10323426850130599,0.0003547675338842415,1,4,4,8,2.0963657781949735e-06,,,,,0.552499262346231,,,PRUNED
21,0.6843995622523376,2026-03-10 11:05:45.031719,2026-03-10 11:05:50.444631,0 days 00:00:05.412912,64,64,65,0.026340576875538507,0.00411724577362835,1,4,1,32,4.413422113989818e-05,,,,,0.6843995622523376,,,PRUNED
22,0.5487254603162902,2026-03-10 11:05:50.445116,2026-03-10 11:06:04.282157,0 days 00:00:13.837041,64,64,65,0.03897302334469483,0.0025530285729427897,1,4,1,32,3.125981674184538e-05,,,,,0.5487254603162902,,,PRUNED
